value,label,pattern,vendors[],color
arctic-digital,Arctic Digital,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/arctic-digital.jpg,zapcables,
navy-camo,Navy Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/navy-camo.jpg,zapcables,
blue-digi-camo,Blue Digi Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/blue-digi-camo.jpg,zapcables,
blue-snake-2,Blue Snake,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/blue-snake-2.jpg,zapcables,
bruiser,Bruiser,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/bruiser.jpg,zapcables,
clouds,Clouds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/clouds.jpg,zapcables,
icy-cold,Icy Cold,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/icy-cold.jpg,zapcables,
royal-mountain,Royal Mountain,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/royal-mountain.jpg,zapcables,
scuba,Scuba,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/scuba.jpg,zapcables,
underwater,Underwater,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/underwater.jpg,zapcables,
carolina-beach,Carolina Beach,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/carolina-beach.jpg,zapcables,
oceans-on-fire,Oceans on Fire,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/oceans-on-fire.jpg,zapcables,
trippin,Trippin,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/trippin.jpg,zapcables,
neon-turq-gid,Neon Turquoise with Glow in the Dark Tracers,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-turq-gid.jpg,zapcables,
lava-lamp,Lava Lamp,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/lava-lamp.jpg,zapcables,
